id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFrom,seatTo,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,winningMerchTags,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,suppressedMerchTags,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey,bestViewTagMessage.message,bestViewTagMessage.disclaimer,bestViewTagMessage.hasValue,bestViewTagMessage.featureTrackingKey
13387139253,153020449,319,122912,319,2,14,9_9,9,9,9,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703927,False,False,Row 14,False,1597064,"¥1,597,064","¥1,597,064",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122912/0.jpg?im=Resize=(500,271)&v=771",9 hours ago,7,False,False,False,False,hcWr0E0G0kk3aYdx3lrbuyX6hSTk5roSZ0ZorHll5vI%3d,False,2026-07-17T23:11:03.1370000Z,True,False,False,False,False,False,0,False,[2],False,False,False,False,0,True,False,0,13387139253,False,F378F650-EC2B-48CA-840D-9CDC3111A2DC,False,False,True,4,7.185404379896652,0.7751677852,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,
13387500802,153020449,331,122924,331,2,24,28_28,28,28,28,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113939,False,False,Row 24,False,1597064,"¥1,597,064","¥1,597,064",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122924/0.jpg?im=Resize=(500,271)&v=771",9 hours ago,7,False,False,False,False,hcWr0E0G0kk3aYdx3lrbuyX6hSTk5roSZ0ZorHll5vI%3d,False,2026-07-17T23:52:41.3300000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,True,False,0,13387500802,False,F4992FBF-554A-4A81-95FF-DA3A755DAC09,False,False,True,3,6.685310547876002,0.7285758278,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],"¥2,018,730",21.0,"¥421,666",,,,,,,,,,,,,
13376916350,153020449,Upper,1546670,Upper,3,,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",1641237,False,False,Row,True,1635664,"¥1,635,664","¥1,635,664",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_1546670/0.jpg?im=Resize=(500,271)&v=771",yesterday,0,False,False,True,True,k%2borcJvhgYnlb5qYku3DExDKqHgXpTSxx1J9uyvJAoY%3d,False,2026-07-16T22:05:13.2800000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13376916350,False,EBC7577C-36E9-48D8-9947-813E14A88907,False,False,True,0,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,Last ticket,True,,,,,,,,,,,
13364569078,153020449,306,122899,306,2,15,12_15,,,12,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113690,False,False,Row 15,False,1638574,"¥1,638,574","¥1,638,574",10,Mobile Transfer ticket,3,1,GBP,JPY,4335.0,GBP,"https://img.vggcdn.net/img/vfsimage2/812551/407_122899/0.jpg?im=Resize=(500,271)&v=771",2 days ago,7,False,False,False,False,CFRDaVvfXQNSpaoaY%2b9%2bK44SJ2MIyaD2hG6zFjd4Eu0%3d,False,2026-07-15T22:36:59.5500000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13364569078,False,CFBEE57E-D4D4-42B3-9EE8-F59BC6B2C359,False,False,True,3,6.81406683484797,0.7598700443,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,Last ticket,True,[7],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,,
13385372720,153020449,Category 3,1989401,Category 3,3,,_,,,,False,False,1,,False,False,[1],1247,Category 3,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",3325460,False,False,Row,True,1640062,"¥1,640,062","¥1,640,062",10,Mobile Transfer ticket,3,1,EUR,JPY,3500.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/1247_1989401/0.jpg?im=Resize=(500,271)&v=771",13 hours ago,10,False,False,True,False,dGhKRnNOa8075Ld4PpNkYjlP5UiqlXyoOwywszD6fvE%3d,False,2026-07-17T19:20:08.9130000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13385372720,False,FC10481A-63D3-4A7B-97A8-7DF4EEFFE548,False,False,True,5,9.705246132588465,1.25740229,,,,,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,Last ticket,True,,,,,,,,,,,
13286549052,153020449,329,122922,329,2,26,29_29,29,29,29,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113899,False,False,Row 26,False,1657985,"¥1,657,985","¥1,657,985",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122922/0.jpg?im=Resize=(500,271)&v=771",9 days ago,6,False,False,False,False,oLL2OxkHRIPD37ZnryBHRl%2fhfkXTqeL9mCQ5eYRyzxk%3d,False,2026-07-08T15:35:11.8600000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13286549052,False,8CD30081-6CE6-4B1F-B02B-32D543F62514,False,False,True,3,6.27238146823429,0.7188976532,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],"¥2,653,959",38.0,"¥995,974",Last ticket,True,,,,,,,,,,,
13371490033,153020449,322,122915,322,2,7,13_13,13,13,13,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 2027, 'listingNoteContentId': 3415845, 'formattedListingNoteContent': 'Third Row of Section', 'listingNoteTypeId': 6, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3415845, 'formattedListingNoteDescription': 'Third Row of Section'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Third Row of Section', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2027}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113750,False,False,Row 7,False,1684790,"¥1,684,790","¥1,684,790",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122915/0.jpg?im=Resize=(500,271)&v=771",yesterday,7,False,False,False,False,ZOytFfAxbEiqPm6xFTWQ9tMOfS9jLqFY1tVTvIxFVKI%3d,False,2026-07-16T11:59:30.4600000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13371490033,False,C568D4C7-DA9E-495C-8A0E-2EA024B665AA,False,False,True,3,6.814433013095742,0.781344551,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Third Row', 'qualifier': 'Excellent proximity to the action', 'hasValue': True, 'messageType': 'ThirdRowTicketAttributeBased'}]",[2027],,,,Last ticket,True,[7],Fan favorite,This section has the highest count of successful sales for this event over the past 7 days on our site,True,,,,,,,
13388151160,153020449,328,122921,328,2,25,1_1,1,1,1,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 10, 'listingNoteContentId': 1036546, 'formattedListingNoteContent': 'Aisle seat', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 4177929, 'formattedListingNoteDescription': 'Aisle seat'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Aisle seat', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 10}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113876,False,False,Row 25,False,1684790,"¥1,684,790","¥1,684,790",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122921/0.jpg?im=Resize=(500,271)&v=771",6 hours ago,6,False,False,False,False,ZOytFfAxbEiqPm6xFTWQ9tMOfS9jLqFY1tVTvIxFVKI%3d,False,2026-07-18T02:13:33.6600000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13388151160,False,469B0AC1-D599-4C42-A488-579E1DFC945B,False,False,True,3,6.256092121593978,0.7290985048,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Aisle Seat', 'qualifier': 'Easy access to your seat', 'hasValue': True, 'messageType': 'AisleSeatTicketAttributeBased'}]",[10],,,,,,,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,,
13387697653,153020449,327,122920,327,2,19,13_16,,,13,False,False,4,,False,False,"[1, 2, 3, 4]",407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113850,False,False,Row 19,False,1688329,"¥1,688,329","¥1,688,329",10,Mobile Transfer ticket,3,1,USD,JPY,5750.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",8 hours ago,7,False,False,False,False,C%2fXn6UaL95OqPvRuCRF%2be3rEtZ7%2fSduMoUUMFpLnV4E%3d,False,2026-07-18T00:32:37.4700000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13387697653,False,8ECBC39C-BC82-451B-8456-9CD7355D4F65,False,False,True,3,6.686984544133116,0.7703844537,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,
13385721960,153020449,328,122921,328,2,12,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113863,False,False,Row 12,False,1704285,"¥1,704,285","¥1,704,285",10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122921/0.jpg?im=Resize=(500,271)&v=771",13 hours ago,7,False,False,False,False,9PX0qdi3SN4mRo2tKBHc5HcHHZ57GaFIQrXeN1UkN9c%3d,False,2026-07-17T19:51:08.2830000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13385721960,False,07E52850-4DA3-42D6-8DE7-FB58C9563AD5,False,False,True,3,6.5874257395525,0.7680119131,,,,,"[{'message': 'Popular Pick', 'qualifier': '4 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,,,
