id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,winningMerchTags,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,seatFrom,seatTo,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,suppressedMerchTags,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,hiddenGemMessage.message,hiddenGemMessage.hasValue,hiddenGemMessage.featureTrackingKey,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey,bestViewTagMessage.message,bestViewTagMessage.disclaimer,bestViewTagMessage.hasValue,bestViewTagMessage.featureTrackingKey
13389578750,153020449,204,122837,204,2,13,6_6,6,False,False,1,,False,False,[1],471,Middle,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",702765,False,False,Row 13,False,1592727,"¥1,592,727","¥1,592,727",10,Mobile Transfer ticket,3,1,USD,JPY,7380.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/471_122837/0.jpg?im=Resize=(500,271)&v=771",7 hours ago,8,False,False,False,False,73n7IsKcL%2fImh50dIDDsxZ6tBYMC0D4jn6xkbxFKJws%3d,False,2026-07-18T07:25:55.2400000Z,True,False,False,False,False,False,0,False,[2],False,False,False,False,0,True,False,0,13389578750,False,4CA13920-3734-4F0E-AF56-73C88464FDFA,False,False,True,4,7.6805539912476615,0.8391526436,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,,,,
13387500802,153020449,331,122924,331,2,24,28_28,28,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113939,False,False,Row 24,False,1597064,"¥1,597,064","¥1,597,064",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122924/0.jpg?im=Resize=(500,271)&v=771",15 hours ago,7,False,False,False,False,hcWr0E0G0kk3aYdx3lrbuyX6hSTk5roSZ0ZorHll5vI%3d,False,2026-07-17T23:52:41.3300000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13387500802,False,F8C8661E-4EF5-4DEA-A69E-A589BC893C93,False,False,True,3,6.590468070444574,0.7285758278,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],28,28,"¥2,018,730",21.0,"¥421,666",,,,,,,,,,,,,,,,
13391194992,153020449,306,122899,306,2,23,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113698,False,False,Row 23,False,1605252,"¥1,605,252","¥1,605,252",10,Mobile Transfer ticket,3,1,USD,JPY,2600.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122899/0.jpg?im=Resize=(500,271)&v=771",53 minutes ago,7,False,False,False,False,il4nx16%2fOkjx3GyCHBBtivFao8si0mw8JHKJZRd9Zmc%3d,False,2026-07-18T14:19:08.7830000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13391194992,False,310EFE3B-C2D3-48E0-BCCD-8564E5F1069C,False,False,True,3,6.541083969866358,0.7280853518,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,[7],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Last ticket,True,,,,,,,,,,
13385721960,153020449,328,122921,328,2,12,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113863,False,False,Row 12,False,1606422,"¥1,606,422","¥1,606,422",10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122921/0.jpg?im=Resize=(500,271)&v=771",19 hours ago,7,False,False,False,False,n0K7xWx%2fib2IFCZFZx9tYBzUtPeGXd5x5I5FoPUGarc%3d,False,2026-07-17T19:51:08.2830000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13385721960,False,DBDD1AA1-858C-4A3E-B627-9F23EEB2D3C8,False,False,True,3,6.979989942812213,0.7680119131,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,[7],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Last ticket,True,,,,,,,,,,
13385425307,153020449,322,122915,322,2,17,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113738,False,False,Row 17,False,1606422,"¥1,606,422","¥1,606,422",10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122915/0.jpg?im=Resize=(500,271)&v=771",19 hours ago,7,False,False,False,False,n0K7xWx%2fib2IFCZFZx9tYBzUtPeGXd5x5I5FoPUGarc%3d,False,2026-07-17T19:25:53.1070000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13385425307,False,BE04A9CE-61DC-4DF7-8B75-7C411A17B4B1,False,False,True,3,6.733685419243775,0.745394451,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,Fan favorite,This section has the highest count of successful sales for this event over the past 7 days on our site,True,,,,,,,,,,,,
13255595229,153020449,329,122922,329,2,26,16_16,16,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113899,False,False,Row 26,False,1623382,"¥1,623,382","¥1,623,382",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122922/0.jpg?im=Resize=(500,271)&v=771",12 days ago,6,False,False,False,False,73n7IsKcL%2fImh50dIDDsxZ6tBYMC0D4jn6xkbxFKJws%3d,False,2026-07-05T22:49:01.9100000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13255595229,False,81A3E0CC-8565-4D0D-9891-0E6101D425DA,False,False,True,3,6.333836652552341,0.7188976532,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],16,16,"¥2,369,616",31.0,"¥746,234",,,,,Last ticket,True,,,,,,,,,,
13387762186,153020449,321,122914,321,2,17,_,,False,False,2,,False,False,"[1, 2]",407,Upper,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113716,False,False,Row 17,False,1625527,"¥1,625,527","¥1,625,527",10,Mobile Transfer ticket,3,1,USD,JPY,2600.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122914/0.jpg?im=Resize=(500,271)&v=771",14 hours ago,6,False,False,False,False,6MDVGI%2bEP7IzFvNIGNlulbMVhHrDub0LTdYgTY9OwJI%3d,False,2026-07-18T00:48:16.9930000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13387762186,False,417A300B-8810-4A38-B02A-7DD875EB43DE,False,False,True,3,6.324710471787485,0.7190986817,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,[7],Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Last tickets,True,,,,,,,,,,
13389857402,153020449,327,122920,327,2,18,_,,False,False,4,,False,False,"[1, 2, 3, 4]",407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113849,False,False,Row 18,False,1635079,"¥1,635,079","¥1,635,079",10,Mobile Transfer ticket,3,1,USD,JPY,6000.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",5 hours ago,7,False,False,False,False,xsHvFm2x74XdKkwfzTXW6M9bbM1Idd0OD1Q1LroysWc%3d,False,2026-07-18T09:33:16.1400000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13389857402,False,EEE470E2-246A-41AC-A290-BB54A9169777,False,False,True,3,6.911414431099326,0.7751677852,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,,,,
13385372720,153020449,Category 3,1989401,Category 3,3,,_,,False,False,1,,False,False,[1],1247,Category 3,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",3325460,False,False,Row,True,1640062,"¥1,640,062","¥1,640,062",10,Mobile Transfer ticket,3,1,EUR,JPY,3500.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/1247_1989401/0.jpg?im=Resize=(500,271)&v=771",19 hours ago,9,False,False,True,False,dGhKRnNOa8075Ld4PpNkYjlP5UiqlXyoOwywszD6fvE%3d,False,2026-07-17T19:20:08.9130000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13385372720,False,F47E217D-F71A-49B5-BA45-F6C3BE0754D9,False,False,True,5,9.318609036555122,1.25740229,,,,,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,Last ticket,True,,,,,,,,,,
13391307747,153020449,322,122915,322,2,7,13_13,13,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 2027, 'listingNoteContentId': 3415845, 'formattedListingNoteContent': 'Third Row of Section', 'listingNoteTypeId': 6, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3415845, 'formattedListingNoteDescription': 'Third Row of Section'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Third Row of Section', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2027}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113750,False,False,Row 7,False,1657498,"¥1,657,498","¥1,657,498",10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122915/0.jpg?im=Resize=(500,271)&v=771",30 minutes ago,7,False,False,False,False,LdqHBcV31Cv6V7CQpn46X9g7fswC4ebowXgEkhU2Pqc%3d,False,2026-07-18T14:41:58.3900000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13391307747,False,BBCADA96-20F5-4FDD-A524-9996D4258535,False,False,True,3,6.864741055606466,0.781344551,,,,,"[{'message': 'Popular Pick', 'qualifier': '38 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Third Row', 'qualifier': 'Excellent proximity to the action', 'hasValue': True, 'messageType': 'ThirdRowTicketAttributeBased'}]",[2027],13,13,,,,,Fan favorite,This section has the highest count of successful sales for this event over the past 7 days on our site,True,,,,,,,,,,,,
