id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,winningMerchTags,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,adAttributes.bidId,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,suppressedMerchTags,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,seatFrom,seatTo,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey,bestViewTagMessage.message,bestViewTagMessage.disclaimer,bestViewTagMessage.hasValue,bestViewTagMessage.featureTrackingKey
13393960794,153020449,124,122796,124,2,8,_,,False,False,4,,False,False,"[1, 2, 4]",594,Lower,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2112763,False,False,Row 8,False,1690010,"¥1,690,010","¥1,690,010",10,Mobile Transfer ticket,3,1,USD,JPY,10990.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/594_122796/0.jpg?im=Resize=(500,271)&v=771",an hour ago,9,False,False,False,False,KJHStS3cp%2baYtewgIzsVfcCaPZlbCGg1JTkgOBsuxoA%3d,False,2026-07-19T00:59:35.2200000Z,False,False,False,True,False,False,0,False,[6],False,True,False,False,0,False,False,0,13393960794,False,91014756-3F2D-4193-A354-655C3909925F,False,False,True,5,9.468320898043745,1.505636007,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,019F7844-CECA-7721-ACBE-A2B9684E1B3B,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,,
13394326066,153020449,347,122940,347,2,17,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113977,False,False,Row 17,False,1308855,"¥1,308,855","¥1,308,855",10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122940/0.jpg?im=Resize=(500,271)&v=771",just now,7,False,False,False,False,VGW8wmScWcF8WsuDkrlrEzzYKq%2bpQ4qFIvwONrQFw%2fk%3d,False,2026-07-19T02:46:26.8700000Z,True,False,False,False,False,False,0,False,[2],False,False,False,False,0,True,False,0,13394326066,False,3C9880D1-0411-4B78-943E-82D8FE064C53,False,False,True,3,6.923792959633398,0.7507841208,,,,,"[{'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],[7],Last ticket,True,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,,,,,,,,,,,,
13393940082,153020449,124,122796,124,2,7,_,,False,False,4,,False,False,"[1, 2, 4]",594,Lower,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2112762,False,False,Row 7,False,1699562,"¥1,699,562","¥1,699,562",10,Mobile Transfer ticket,3,1,USD,JPY,10990.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/594_122796/0.jpg?im=Resize=(500,271)&v=771",an hour ago,9,False,False,False,False,xqb20J7Nx6SYalDdvuqtAYMLDjqby9Yri8AHNWvriZg%3d,False,2026-07-19T00:52:08.1570000Z,False,False,False,True,False,False,0,False,[6],False,True,False,False,0,False,False,0,13393940082,False,922B82AF-ACE5-4906-9D3F-BBB73BA49DDC,False,False,True,5,9.49050355929901,1.522949332,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,019F7844-CECD-76E9-82EF-96DD543CB1F6,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,,
13394325752,153020449,346,122939,346,2,20,11_11,11,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113958,False,False,Row 20,False,1334214,"¥1,334,214","¥1,334,214",10,Mobile Transfer ticket,3,1,USD,JPY,3500.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122939/0.jpg?im=Resize=(500,271)&v=771",just now,7,False,False,False,False,q%2bWuB%2bM78Xto8CBkoNT%2blvrVnLEvDbPD0LzeRHB50Vc%3d,False,2026-07-19T02:46:09.0230000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13394325752,False,718FA3C3-0C4C-4243-B6E7-42AC1B36D6A4,False,False,True,3,6.986182494346467,0.7720696725,,,,,"[{'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,,,,,,,
13393817202,153020449,325,122918,325,2,20,23_23,23,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113807,False,False,Row 20,False,1342576,"¥1,342,576","¥1,342,576",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122918/0.jpg?im=Resize=(500,271)&v=771",2 hours ago,7,False,False,False,False,mnyENJpeCzYOPgJ%2fmk8wRQvarBjDrueEOvpNtQjYjXA%3d,False,2026-07-19T00:18:02.1070000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13393817202,False,574CD8A8-9AC7-42DC-9429-6B6E13B08EC7,False,False,True,4,7.104591621037159,0.7886019214,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,23,23,"¥1,706,088",21.0,"¥363,512",,,,,,,
13387697653,153020449,327,122920,327,2,19,16_16,16,False,False,1,,False,False,[1],407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113850,False,False,Row 19,False,1354096,"¥1,354,096","¥1,354,096",10,Mobile Transfer ticket,3,1,USD,JPY,5750.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",yesterday,7,False,False,False,False,PM5zJiLLcC4xE%2fTGrO92Cg0fXXz976hQ5VBUetX1mO8%3d,False,2026-07-18T00:32:37.4700000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13387697653,False,E9C3B106-450F-4817-9459-ACC8A6B2988D,False,False,True,3,6.864753249759827,0.7703844537,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,"[{'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,"¥1,895,650",29.0,"¥541,554",,,,,,,
13393649097,153020449,350,122943,350,2,13,12_12,12,False,False,1,,False,False,[1],407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114039,False,False,Row 13,False,1354096,"¥1,354,096","¥1,354,096",10,Mobile Transfer ticket,3,1,USD,JPY,5750.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122943/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,7,False,False,False,False,PM5zJiLLcC4xE%2fTGrO92Cg0fXXz976hQ5VBUetX1mO8%3d,False,2026-07-18T23:37:31.1530000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13393649097,False,9BD59CDF-D1F0-4835-89E3-17A1D680333A,False,False,True,3,6.825664415680603,0.7662312632,,,,,"[{'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,Last ticket,True,,,,,,,"¥1,706,085",21.0,"¥351,989",,,,,,,
13388093543,153020449,328,122921,328,2,18,28_28,28,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113869,False,False,Row 18,False,1359243,"¥1,359,243","¥1,359,243",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122921/0.jpg?im=Resize=(500,271)&v=771",yesterday,7,False,False,False,False,MA881wxNwo8kQgS%2bo%2bq3coGVUudi4cQw8993ZOapCco%3d,False,2026-07-18T02:00:34.0300000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13388093543,False,E0AC1632-10B2-48AC-810B-885189F00A4D,False,False,True,3,6.63861143132062,0.7498012202,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,"[{'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,28,28,,,,,,,,,,
13379190428,153020449,303,122896,303,2,,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",108868,False,False,Row,True,1364993,"¥1,364,993","¥1,364,993",10,Mobile Transfer ticket,3,1,USD,JPY,4116.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122896/0.jpg?im=Resize=(500,271)&v=771",2 days ago,6,False,False,False,False,qZ97yPUWzENar0VwjPFR1S81PMtPvZVbTwr2FaZkyPE%3d,False,2026-07-17T02:40:03.3400000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13379190428,False,1FE67060-3CEC-4475-8509-DD0FF765F33A,False,False,True,3,6.224331902230504,0.7132467024,,,,,"[{'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,"¥2,483,380",45.0,"¥1,118,387",,,,,,,
13385292842,153020449,Category 3,1989401,Category 3,3,,_,,False,False,2,,False,False,"[1, 2]",1247,Category 3,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",3325460,False,False,Row,True,1375362,"¥1,375,362","¥1,375,362",10,Mobile Transfer ticket,3,1,EUR,JPY,3500.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/1247_1989401/0.jpg?im=Resize=(500,271)&v=771",yesterday,10,False,False,True,False,G%2fvrIVtorsI40mUJjLLp975NxkQ9gmzWOid7P6Z6kSs%3d,False,2026-07-17T19:10:22.2170000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13385292842,False,469AFE4D-4B85-4876-8E12-DFF5430B4E25,False,False,True,5,9.566497681422664,1.25740229,,,,,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '113 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,Last tickets,True,,,,,,,"¥2,037,964",33.0,"¥662,602",,,,,,,
