id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,winningMerchTags,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,seatFrom,seatTo,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,suppressedMerchTags,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey
13385292842,153020449,Category 3,1989401,Category 3,3,,_,,False,False,2,,False,False,"[1, 2]",1247,Category 3,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",3325460,False,False,Row,True,1375362,"¥1,375,362","¥1,375,362","¥2,037,964",33.0,"¥662,602",10,Mobile Transfer ticket,3,1,EUR,JPY,3500.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/1247_1989401/0.jpg?im=Resize=(500,271)&v=771",yesterday,10,False,False,True,False,G%2fvrIVtorsI40mUJjLLp975NxkQ9gmzWOid7P6Z6kSs%3d,False,2026-07-17T19:10:22.2170000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13385292842,False,83DB427C-4AEE-40D7-AB67-543FD57D59D5,False,False,True,5,9.509447409741394,1.25740229,Last tickets,True,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,
13393608413,153020449,326,122919,326,2,8,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113839,False,False,Row 8,False,1365439,"¥1,365,439","¥1,365,439","¥2,649,930",48.0,"¥1,284,491",10,Mobile Transfer ticket,3,1,HKD,JPY,2299.0,HKD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122919/0.jpg?im=Resize=(500,271)&v=771",5 hours ago,7,False,False,False,False,MqVLXactnN8MC6ub8UT1hjBCBjeZc06N0zGpFAyvXoo%3d,False,2026-07-18T23:26:58.0230000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13393608413,False,B8B226C7-A631-44BC-B8E6-C7CF149BB8FC,False,False,True,3,6.894941465932185,0.7720210783,,,"[{'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,
13393855519,153020449,325,122918,325,2,19,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113806,False,False,Row 19,False,1403228,"¥1,403,228","¥1,403,228",,,,10,Mobile Transfer ticket,3,1,USD,JPY,7343.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122918/0.jpg?im=Resize=(500,271)&v=771",4 hours ago,7,False,False,False,False,nJMbeSXv%2bA9Dg0YmSY1t6WocWoy%2fT%2fgoy7TO7INXEYw%3d,False,2026-07-19T00:31:36.9500000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13393855519,False,4D5EFC81-82CA-4518-976D-EBF9AD19FA6F,False,False,True,3,6.89902501351815,0.7938276426,,,"[{'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,
13393817202,153020449,325,122918,325,2,20,23_23,23,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113807,False,False,Row 20,False,1342576,"¥1,342,576","¥1,342,576","¥1,706,088",21.0,"¥363,512",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122918/0.jpg?im=Resize=(500,271)&v=771",4 hours ago,7,False,False,False,False,mnyENJpeCzYOPgJ%2fmk8wRQvarBjDrueEOvpNtQjYjXA%3d,False,2026-07-19T00:18:02.1070000Z,True,False,False,False,False,False,0,False,[2],False,False,False,False,0,True,False,0,13393817202,False,CB3A8ADF-2D77-48B2-BF49-BC16D4AEA923,False,False,True,4,7.169414481540546,0.7886019214,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],23,23,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,,,,,,,
13393531321,153020449,345,122938,345,2,20,26_26,26,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 106, 'listingNoteContentId': 1683691, 'formattedListingNoteContent': 'Under 15s accompanied by an adult', 'listingNoteTypeId': 2, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 1683692, 'formattedListingNoteDescription': 'Children under 15 must be accompanied by an adult aged 18 or over.'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 24, 'formattedListingNoteContent': 'Under 15s accompanied by an adult', 'displayOrder': 24, 'showsRawNoteText': True, 'sourceListingNoteId': 106}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",704502,False,False,Row 20,False,1347059,"¥1,347,059","¥1,347,059",,,,10,Mobile Transfer ticket,3,1,USD,JPY,8700.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122938/0.jpg?im=Resize=(500,271)&v=771",5 hours ago,8,False,False,False,False,tp2YGCo2ZL5YN%2fLr123zaMEevc0Pq0ZLxw40jL6tYqo%3d,False,2026-07-18T23:11:35.0930000Z,False,False,False,False,False,False,0,False,[7],False,False,False,False,0,False,False,0,13393531321,False,CC38CE2F-B3AC-476C-849F-FEB9645E816D,False,False,True,4,8.188631651786581,0.9199456835,Last ticket,True,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],26,26,,,,,,,,,,,
13393942100,153020449,326,122919,326,2,7,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 2027, 'listingNoteContentId': 3415845, 'formattedListingNoteContent': 'Third Row of Section', 'listingNoteTypeId': 6, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3415845, 'formattedListingNoteDescription': 'Third Row of Section'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Third Row of Section', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2027}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113838,False,False,Row 7,False,1372791,"¥1,372,791","¥1,372,791",,,,10,Mobile Transfer ticket,3,1,USD,JPY,5785.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122919/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,7,False,False,False,False,wQL8JxTZ0g%2bHLVAQC0RXH5xchs5xub9qb6lpomQXhYM%3d,False,2026-07-19T00:53:03.6600000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13393942100,False,0EBD02FE-74D7-4DF1-A261-6948A014C8BE,False,False,True,3,6.907678927674368,0.7774937024,,,"[{'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Third Row', 'qualifier': 'Excellent proximity to the action', 'hasValue': True, 'messageType': 'ThirdRowTicketAttributeBased'}]",[2027],,,,,,,,,,,,,
13393671268,153020449,350,122943,350,2,25,16_16,16,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114051,False,False,Row 25,False,1384694,"¥1,384,694","¥1,384,694","¥2,039,556",32.0,"¥654,862",10,Mobile Transfer ticket,3,1,GBP,JPY,3795.0,GBP,"https://img.vggcdn.net/img/vfsimage2/812551/407_122943/0.jpg?im=Resize=(500,271)&v=771",5 hours ago,6,False,False,False,False,TRWv%2fi%2fQKnFWD0Y5FiV%2fk1dIKA5w49TeW3ekCKuXiTI%3d,False,2026-07-18T23:42:09.4070000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13393671268,False,DAA8AC4A-92CE-4DD4-97CC-318469ED05EA,False,False,True,3,6.295570467690563,0.7254271807,,,"[{'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,
13393608652,153020449,318,122911,318,2,26,25_25,25,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703917,False,False,Row 26,False,1368892,"¥1,368,892","¥1,368,892","¥1,905,123",28.0,"¥536,231",10,Mobile Transfer ticket,3,1,USD,JPY,8500.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122911/0.jpg?im=Resize=(500,271)&v=771",5 hours ago,6,False,False,False,False,RcN0DmceGIRGw94Jh7CY%2frx6Z5za62eik3AspDWxSzA%3d,False,2026-07-18T23:27:01.6130000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13393608652,False,5E1BF067-8C2C-4632-945E-4DB91506F73A,False,False,True,3,5.642803697542238,0.6640409074,,,"[{'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],25,25,,,,,,,,,,,
13393855527,153020449,350,122943,350,2,13,_,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2114039,False,False,Row 13,False,1403228,"¥1,403,228","¥1,403,228",,,,10,Mobile Transfer ticket,3,1,USD,JPY,7343.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122943/0.jpg?im=Resize=(500,271)&v=771",4 hours ago,7,False,False,False,False,nJMbeSXv%2bA9Dg0YmSY1t6WocWoy%2fT%2fgoy7TO7INXEYw%3d,False,2026-07-19T00:31:37.4270000Z,False,False,False,False,False,False,0,False,,False,False,False,False,0,False,False,0,13393855527,False,3CA56354-AB52-4B0D-9DB7-514283BD7ADE,False,False,True,3,6.626782566362721,0.7662312632,,,"[{'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,,,,,,,
13387697653,153020449,327,122920,327,2,19,16_16,16,False,False,1,,False,False,[1],407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113850,False,False,Row 19,False,1354096,"¥1,354,096","¥1,354,096","¥1,895,650",29.0,"¥541,554",10,Mobile Transfer ticket,3,1,USD,JPY,5750.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",yesterday,7,False,False,False,False,PM5zJiLLcC4xE%2fTGrO92Cg0fXXz976hQ5VBUetX1mO8%3d,False,2026-07-18T00:32:37.4700000Z,False,False,False,True,False,False,0,False,[6],False,False,False,False,0,False,False,0,13387697653,False,2DEC6A66-5B6E-4D16-A0F0-FD02C64215CC,False,False,True,3,6.9418068879409915,0.7703844537,,,"[{'message': 'Popular Pick', 'qualifier': '70 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,,,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,
