id,eventId,section,sectionId,sectionMapName,sectionType,row,seat,seatFrom,seatTo,seatFromInternal,hasSeatDetails,hasSeatDetailsExpansion,availableTickets,formattedFees,showRecentlySold,showPartnershipLogo,availableQuantities,ticketClass,ticketClassName,maxQuantity,hasListingNotes,listingNotes,listingNoteBuckets,rowId,isUsersListing,isPreUploaded,rowContent,isSpeculativeRow,rawPrice,price,formattedTotalPrice,strikeThroughPrice,strikeThroughDiscountPercent,strikeThroughAmountOff,ticketTypeId,ticketTypeName,ticketTypeGroupId,listingTypeId,listingCurrencyCode,buyerCurrencyCode,faceValue,faceValueCurrencyCode,vfsUrl,formattedActiveSince,formattedDealScore,isSeatedTogether,showVfsInListing,hideSeatAndRowInfo,isUnmappedSection,aipHash,isMLBVerified,createdDateTime,showCheapestTag,showBestDealTag,showBestDealInSectionTag,showFanFavoriteTag,showBestViewTag,showTopChoiceTag,topChoiceBucket,isMostAffordable,winningMerchTags,suppressedMerchTags,isZoneTicketClass,isSponsored,isSponsoredSecondary,isMirrorListing,crossSellSource,isCheapestListing,isFavorite,aggregateFavorites,listingId,canBeRelisted,listingImpressionId,isBetterValueListing,hasRowLevelVfs,isDealScoreEligibleForDisplay,inventoryListingScore.starRating,inventoryListingScore.dealScore,inventoryListingScore.seatQualityScore,bestSellingInSectionMessage.message,bestSellingInSectionMessage.disclaimer,bestSellingInSectionMessage.hasValue,bestPriceTagMessage.message,bestPriceTagMessage.disclaimer,bestPriceTagMessage.hasValue,bestPriceTagMessage.featureTrackingKey,listingHighlightData.highlightSiteMessagesWithType,listingHighlightData.listingNoteIdsReplacedByHighlight,lastTicketInSectionMessage.message,lastTicketInSectionMessage.hasValue,bestDealTagMessage.message,bestDealTagMessage.hasValue,bestDealTagMessage.featureTrackingKey
13395739598,153020449,204,122837,204,2,8,15_15,15,15,15,False,False,1,,False,False,[1],471,Middle,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",702760,False,False,Row 8,False,1187310,"¥1,187,310","¥1,187,310","¥1,785,761",34.0,"¥598,451",10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/471_122837/0.jpg?im=Resize=(500,271)&v=771",45 minutes ago,9,False,False,False,False,YCaSW1vNQhRlZ%2bnEzSCx0V4hIw%2fvxt9rJY61xxdxBuA%3d,False,2026-07-19T08:06:57.9370000Z,True,False,False,True,False,False,0,False,[2],[6],False,False,False,False,0,True,False,0,13395739598,False,25752B66-FE59-45DF-BD56-B0E6D51ED5DF,False,False,True,5,8.916630309807479,0.983966288,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,Best price,Lowest priced listing for the selected quantity for this event on our site.,True,6aa8a73f-b069-4147-a316-ffc9e9280c2b,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,
13395507447,153020449,Category 4,2140587,Category 4,3,,_,,,,False,False,1,,False,False,[1],1327,Category 4,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",4264996,False,False,Row,True,1292377,"¥1,292,377","¥1,292,377","¥2,087,134",38.0,"¥794,757",10,Mobile Transfer ticket,3,1,USD,JPY,2399.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/1327_2140587/0.jpg?im=Resize=(500,271)&v=771",2 hours ago,10,False,False,True,False,HrhvuETZJiK7pFAF3ZiIN9k3Qmxu7x8fD3KTdSnuimk%3d,False,2026-07-19T06:37:00.2430000Z,False,False,False,False,False,False,0,False,[7],,False,False,False,False,0,False,False,0,13395507447,False,879F2D9B-20F7-4D83-814E-36DF62549541,False,False,True,5,9.527716206571217,1.362416107,,,,,,,,"[{'message': 'Amazing Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],Last ticket,True,,,
13395558331,153020449,316,122909,316,2,14,1_1,1,1,1,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Aisle seat', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2024}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703861,False,False,Row 14,False,1316259,"¥1,316,259","¥1,316,259",,,,10,Mobile Transfer ticket,3,1,USD,JPY,0.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122909/0.jpg?im=Resize=(500,271)&v=771",an hour ago,7,False,False,False,False,5%2bvCUEVVu3exJ%2fja3%2b0F6l44%2f16Vrgs9lh20LN58HEw%3d,False,2026-07-19T07:06:33.0530000Z,False,False,False,False,False,False,0,False,[7],,False,False,False,False,0,False,False,0,13395558331,False,6B20BB99-F2E5-4D1D-B70D-B679A3ED7E16,False,False,True,4,7.342742477329897,0.7889853928,,,,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Aisle Seat', 'qualifier': 'Easy access to your seat', 'hasValue': True, 'messageType': 'AisleSeatTicketAttributeBased'}]",[2024],Last ticket,True,,,
13394719654,153020449,303,122896,303,2,,_,,,,False,False,6,,False,False,"[1, 2, 3, 4, 5, 6]",407,Upper,6,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",108868,False,False,Row,True,1333803,"¥1,333,803","¥1,333,803",,,,10,Mobile Transfer ticket,3,1,USD,JPY,4116.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122896/0.jpg?im=Resize=(500,271)&v=771",4 hours ago,6,False,False,False,False,OhYVAkh1WHj%2b9R9fc9e0k0xLY3hma7JHc016lAYMBNA%3d,False,2026-07-19T04:26:28.9330000Z,False,False,False,False,False,False,0,False,,,False,False,False,False,0,False,False,0,13394719654,False,4EA6CD6D-6E3A-4AD5-8F82-D1153A2E5A8D,False,False,True,3,6.442991299354141,0.7132467024,,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,
13393697029,153020449,326,122919,326,2,5,12_,,,12,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': 2025, 'listingNoteContentId': 3415843, 'formattedListingNoteContent': 'Front Row of Section', 'listingNoteTypeId': 6, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3415843, 'formattedListingNoteDescription': 'Front Row of Section'}, {'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 14, 'formattedListingNoteContent': 'Front Row of Section', 'displayOrder': 14, 'showsRawNoteText': True, 'sourceListingNoteId': 2025}, {'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113836,False,False,Row 5,False,1342576,"¥1,342,576","¥1,342,576",,,,10,Mobile Transfer ticket,3,1,USD,JPY,6652.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122919/0.jpg?im=Resize=(500,271)&v=771",9 hours ago,7,False,False,False,False,mnyENJpeCzYOPgJ%2fmk8wRQvarBjDrueEOvpNtQjYjXA%3d,False,2026-07-18T23:49:34.2270000Z,False,False,False,True,False,False,0,False,[6],[7],False,False,False,False,0,False,False,0,13393697029,False,B583A39F-DBA9-4B1F-9C07-DFC968E2DDC9,False,False,True,4,7.201035828970128,0.7885525716,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}, {'message': 'Front Row', 'qualifier': 'Best seats in the house', 'hasValue': True, 'messageType': 'FirstRowTicketAttributeBased'}]",[2025],Last ticket,True,,,
13387697653,153020449,327,122920,327,2,19,16_16,,,16,False,False,1,,False,False,[1],407,Upper,4,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113850,False,False,Row 19,False,1354096,"¥1,354,096","¥1,354,096","¥1,895,650",29.0,"¥541,554",10,Mobile Transfer ticket,3,1,USD,JPY,5750.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",yesterday,7,False,False,False,False,PM5zJiLLcC4xE%2fTGrO92Cg0fXXz976hQ5VBUetX1mO8%3d,False,2026-07-18T00:32:37.4700000Z,False,False,False,True,False,False,0,False,[6],,False,False,False,False,0,False,False,0,13387697653,False,10C101D9-3AE8-452E-B8DE-99A06543F4FA,False,False,True,3,6.97394824719966,0.7703844537,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,"[{'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,
13394928074,153020449,347,122940,347,2,26,_,,,,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113986,False,False,Row 26,False,1354182,"¥1,354,182","¥1,354,182",,,,10,Mobile Transfer ticket,3,1,EUR,JPY,5100.0,EUR,"https://img.vggcdn.net/img/vfsimage2/812551/407_122940/0.jpg?im=Resize=(500,271)&v=771",3 hours ago,6,False,False,False,False,scdpLBY6%2fQNecYHyP0w%2fPxuJQPK8zGEtB30oePvZpc8%3d,False,2026-07-19T04:57:27.9470000Z,False,False,False,False,False,False,0,False,,,False,False,False,False,0,False,False,0,13394928074,False,36652044-8B26-45BC-A527-4D28B6E594C6,False,False,True,3,6.2271401473101395,0.7068836344,,,,,,,,"[{'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,
13393622811,153020449,318,122911,318,2,12,_,,,,False,False,2,,False,False,"[1, 2]",407,Upper,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",703903,False,False,Row 12,False,1368892,"¥1,368,892","¥1,368,892","¥1,759,060",22.0,"¥390,168",10,Mobile Transfer ticket,3,1,USD,JPY,7380.0,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122911/0.jpg?im=Resize=(500,271)&v=771",9 hours ago,8,False,False,False,False,1RkibbR5y0BQPLpQ4qpQbZQe%2bqF0iiwdXcFMDPrJGjg%3d,False,2026-07-18T23:31:25.0400000Z,False,False,False,False,False,False,0,False,,,False,False,False,False,0,False,False,0,13393622811,False,DAFED393-71A1-4084-A114-8E56917E03C8,False,False,True,4,7.595446475265209,0.8517760202,,,,,,,,"[{'message': 'Great Value', 'qualifier': 'Based on price, view, seat quality and more', 'hasValue': True, 'messageType': 'ValueBased'}, {'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,
13391052996,153020449,328,122921,328,2,26,16_16,16,16,16,False,False,1,,False,False,[1],407,Upper,1,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113877,False,False,Row 26,False,1368892,"¥1,368,892","¥1,368,892","¥1,838,776",26.0,"¥469,884",10,Mobile Transfer ticket,3,1,USD,JPY,,USD,"https://img.vggcdn.net/img/vfsimage2/812551/407_122921/0.jpg?im=Resize=(500,271)&v=771",19 hours ago,6,False,False,False,False,RcN0DmceGIRGw94Jh7CY%2frx6Z5za62eik3AspDWxSzA%3d,False,2026-07-18T13:49:42.1730000Z,False,False,False,True,False,False,0,False,[6],,False,False,False,False,0,False,False,0,13391052996,False,2FA02991-E6E4-4233-94A6-B475190C1B6A,False,False,True,3,6.372059657895669,0.7261878374,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,"[{'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,
13393693094,153020449,327,122920,327,2,18,_,,,,False,False,2,,False,False,"[1, 2]",407,Upper,2,True,"[{'listingNoteId': -1, 'listingNoteContentId': 3338094, 'formattedListingNoteContent': 'Clear view', 'listingNoteTypeId': 3, 'showToBuyer': True, 'hideInMock': False, 'siteAddedListingNote': False, 'aisleListingNoteWithSplit': False, 'listingNoteDescriptionContentId': 3338095, 'formattedListingNoteDescription': ""You'll have an unrestricted view of the show.""}]","[{'listingNoteBucketId': 27, 'formattedListingNoteContent': 'Clear view', 'displayOrder': 8, 'showsRawNoteText': True, 'sourceListingNoteId': -1}]",2113849,False,False,Row 18,False,1376829,"¥1,376,829","¥1,376,829",,,,10,Mobile Transfer ticket,3,1,GBP,JPY,4000.0,GBP,"https://img.vggcdn.net/img/vfsimage2/812551/407_122920/0.jpg?im=Resize=(500,271)&v=771",9 hours ago,7,False,False,False,False,wHnr3127nNrb%2b6nkqSbhmovgGEkztgC6O4dfDgzc1xk%3d,False,2026-07-18T23:48:16.4700000Z,False,False,False,True,False,False,0,False,[6],,False,False,False,False,0,False,False,0,13393693094,False,68B646DE-4524-48F4-A7E1-0535E292AAC2,False,False,True,3,6.8865579156650485,0.7751677852,Fan favorite,This section is in the top 10% of sections for this event when ranked based on a count of successful sales over the past 7 days on our site,True,,,,,"[{'message': 'Popular Pick', 'qualifier': '28 tickets sold for this event', 'hasValue': True, 'messageType': 'BoughtInLastHourSocialProofBased'}]",[],,,,,
